Metric,Value
Objective Value ($),6.183364372335799
Electricity Cost ($),6.08835107158478
Carbon Emissions (kg CO2),0.09501330075101863
Total Energy Consumed (kWh),43.32701559994169
Energy from Grid (kWh),23.327015599941685
Energy for Work (kWh),20.0
Energy for Travel (kWh),0.0
Work Completion (kWh),20.0
Missed Work (kWh),0.0
Work Completion Percentage (%),100.0
Solve Time (seconds),3.8879010677337646
Average Electricity Price ($/kWh),0.3744999999999999
Average Emission Factor (kg CO2/kWh),0.012389501330753429
Worst Case Electricity Cost ($),14.626038781163437
Worst Case Carbon Emissions (kg CO2),0.39779292590504506
Worst Case Total Cost ($),15.023831707068483
Electricity Cost Savings ($),8.537687709578657
Carbon Emissions Savings (kg CO2),0.30277962515402645
Total Cost Savings ($),8.840467334732685
