Time_Period,Time_Label,Site_2_Work_Power_kW,Total_Work_Power_kW
1,00:00:00,0.0,0.0
2,00:15:00,0.0,0.0
3,00:30:00,0.0,0.0
4,00:45:00,0.0,0.0
5,01:00:00,0.0,0.0
6,01:15:00,0.0,0.0
7,01:30:00,0.0,0.0
8,01:45:00,0.0,0.0
9,02:00:00,0.0,0.0
10,02:15:00,0.0,0.0
11,02:30:00,0.0,0.0
12,02:45:00,0.0,0.0
13,03:00:00,0.0,0.0
14,03:15:00,0.0,0.0
15,03:30:00,0.0,0.0
16,03:45:00,0.0,0.0
17,04:00:00,0.0,0.0
18,04:15:00,0.0,0.0
19,04:30:00,0.0,0.0
20,04:45:00,0.0,0.0
21,05:00:00,0.0,0.0
22,05:15:00,0.0,0.0
23,05:30:00,0.0,0.0
24,05:45:00,0.0,0.0
25,06:00:00,0.0,0.0
26,06:15:00,0.0,0.0
27,06:30:00,0.0,0.0
28,06:45:00,0.0,0.0
29,07:00:00,0.0,0.0
30,07:15:00,0.0,0.0
31,07:30:00,0.0,0.0
32,07:45:00,0.0,0.0
33,08:00:00,2.5,2.5
34,08:15:00,2.5,2.5
35,08:30:00,2.5,2.5
36,08:45:00,2.5,2.5
37,09:00:00,2.5,2.5
38,09:15:00,2.5,2.5
39,09:30:00,2.5,2.5
40,09:45:00,2.5,2.5
41,10:00:00,2.5,2.5
42,10:15:00,2.5,2.5
43,10:30:00,2.5,2.5
44,10:45:00,2.5,2.5
45,11:00:00,2.5,2.5
46,11:15:00,2.5,2.5
47,11:30:00,2.5,2.5
48,11:45:00,2.5,2.5
49,12:00:00,2.5,2.5
50,12:15:00,2.5,2.5
51,12:30:00,2.5,2.5
52,12:45:00,2.5,2.5
53,13:00:00,2.5,2.5
54,13:15:00,2.5,2.5
55,13:30:00,2.5,2.5
56,13:45:00,2.5,2.5
57,14:00:00,2.5,2.5
58,14:15:00,2.5,2.5
59,14:30:00,2.5,2.5
60,14:45:00,2.5,2.5
61,15:00:00,2.5,2.5
62,15:15:00,2.5,2.5
63,15:30:00,2.5,2.5
64,15:45:00,2.5,2.5
65,16:00:00,2.5,2.5
66,16:15:00,2.5,2.5
67,16:30:00,2.5,2.5
68,16:45:00,2.5,2.5
69,17:00:00,0.0,0.0
70,17:15:00,0.0,0.0
71,17:30:00,0.0,0.0
72,17:45:00,0.0,0.0
73,18:00:00,0.0,0.0
74,18:15:00,0.0,0.0
75,18:30:00,0.0,0.0
76,18:45:00,0.0,0.0
77,19:00:00,0.0,0.0
78,19:15:00,0.0,0.0
79,19:30:00,0.0,0.0
80,19:45:00,0.0,0.0
81,20:00:00,0.0,0.0
82,20:15:00,0.0,0.0
83,20:30:00,0.0,0.0
84,20:45:00,0.0,0.0
85,21:00:00,0.0,0.0
86,21:15:00,0.0,0.0
87,21:30:00,0.0,0.0
88,21:45:00,0.0,0.0
89,22:00:00,0.0,0.0
90,22:15:00,0.0,0.0
91,22:30:00,0.0,0.0
92,22:45:00,0.0,0.0
93,23:00:00,0.0,0.0
94,23:15:00,0.0,0.0
95,23:30:00,0.0,0.0
96,23:45:00,0.0,0.0
